celebrity_name,season,premiere_date,window_start,window_end,wiki_article,wiki_status,wiki_mean_5y,wiki_sum_5y,wiki_median_5y,wiki_std_5y,wiki_p95_5y,wiki_max_5y,wiki_nonzero_days_5y,wiki_days_5y
John O'Hurley,1,2005-06-01,2000-06-01,2005-05-31,John_O'Hurley,pageviews_unavailable_pre20150701,,,,,,,,
Kelly Monaco,1,2005-06-01,2000-06-01,2005-05-31,Kelly_Monaco,pageviews_unavailable_pre20150701,,,,,,,,
Evander Holyfield,1,2005-06-01,2000-06-01,2005-05-31,Evander_Holyfield,pageviews_unavailable_pre20150701,,,,,,,,
Rachel Hunter,1,2005-06-01,2000-06-01,2005-05-31,Rachel_Hunter,pageviews_unavailable_pre20150701,,,,,,,,
Joey McIntyre,1,2005-06-01,2000-06-01,2005-05-31,Joey_McIntyre,pageviews_unavailable_pre20150701,,,,,,,,
Trista Sutter,1,2005-06-01,2000-06-01,2005-05-31,Trista_Sutter,pageviews_unavailable_pre20150701,,,,,,,,
Tatum O'Neal,2,2006-01-05,2001-01-05,2006-01-04,Tatum_O'Neal,pageviews_unavailable_pre20150701,,,,,,,,
Tia Carrere,2,2006-01-05,2001-01-05,2006-01-04,Tia_Carrere,pageviews_unavailable_pre20150701,,,,,,,,
George Hamilton,2,2006-01-05,2001-01-05,2006-01-04,George_Hamilton_(actor),pageviews_unavailable_pre20150701,,,,,,,,
Lisa Rinna,2,2006-01-05,2001-01-05,2006-01-04,Lisa_Rinna,pageviews_unavailable_pre20150701,,,,,,,,
Stacy Keibler,2,2006-01-05,2001-01-05,2006-01-04,Stacy_Keibler,pageviews_unavailable_pre20150701,,,,,,,,
Jerry Rice,2,2006-01-05,2001-01-05,2006-01-04,Jerry_Rice,pageviews_unavailable_pre20150701,,,,,,,,
Giselle Fernandez,2,2006-01-05,2001-01-05,2006-01-04,Princess_Daisy,pageviews_unavailable_pre20150701,,,,,,,,
Master P,2,2006-01-05,2001-01-05,2006-01-04,Master_P,pageviews_unavailable_pre20150701,,,,,,,,
Drew Lachey,2,2006-01-05,2001-01-05,2006-01-04,Drew_Lachey,pageviews_unavailable_pre20150701,,,,,,,,
Kenny Mayne,2,2006-01-05,2001-01-05,2006-01-04,Kenny_Mayne,pageviews_unavailable_pre20150701,,,,,,,,
Harry Hamlin,3,2006-09-12,2001-09-12,2006-09-11,Harry_Hamlin,pageviews_unavailable_pre20150701,,,,,,,,
Vivica A. Fox,3,2006-09-12,2001-09-12,2006-09-11,Vivica_A._Fox,pageviews_unavailable_pre20150701,,,,,,,,
Monique Coleman,3,2006-09-12,2001-09-12,2006-09-11,Monique_Coleman,pageviews_unavailable_pre20150701,,,,,,,,
Joey Lawrence,3,2006-09-12,2001-09-12,2006-09-11,Joey_Lawrence,pageviews_unavailable_pre20150701,,,,,,,,
Mario Lopez,3,2006-09-12,2001-09-12,2006-09-11,Mario_Lopez,pageviews_unavailable_pre20150701,,,,,,,,
Emmitt Smith,3,2006-09-12,2001-09-12,2006-09-11,Emmitt_Smith,pageviews_unavailable_pre20150701,,,,,,,,
Shanna Moakler,3,2006-09-12,2001-09-12,2006-09-11,Shanna_Moakler,pageviews_unavailable_pre20150701,,,,,,,,
Willa Ford,3,2006-09-12,2001-09-12,2006-09-11,Willa_Ford,pageviews_unavailable_pre20150701,,,,,,,,
Sara Evans,3,2006-09-12,2001-09-12,2006-09-11,Sara_Evans,pageviews_unavailable_pre20150701,,,,,,,,
Jerry Springer,3,2006-09-12,2001-09-12,2006-09-11,Jerry_Springer,pageviews_unavailable_pre20150701,,,,,,,,
